code,group,diagnosis,chapter
G47.10,28,Unspecified Hypersomnolence Disorder,12
G47.8,30,Other Specified Sleep-Wake Disorder,12
G47.9,25,Unspecified Sleep-Wake Disorder,12
F52.32,1,Delayed Ejaculation,13
F52.21,1,Erectile Disorder,13
F81.0(With impairment in reading)|F81.81(With impairment in written expression)|F81.2(With impairment in mathematics),32,Specific Learning Disorder,1
F52.31,1,Female Orgasmic Disorder,13
F52.22,1,Female Sexual Interest/Arousal Disorder,13
F52.6,1,Genito-Pelvic Pain/Penetration Disorder,13
F52.0,1,Male Hypoactive Sexual Desire Disorder,13
F52.4,1,Premature (Early) Ejaculation,13
Sexual Dysfunction_F10.181|F11.181|F13.181|F14.181|F15.181|F19.181|F10.281|F11.281|F13.281|F14.281|F15.281|F19.281|F10.981|F11.981|F13.981|F14.981|F15.981|F19.981,21,Substance/Medication-Induced Sexual Dysfunction,13
F52.8,30,Other Specified Sexual Dysfunction,13
F52.9,25,Unspecified Sexual Dysfunction,13
F64.2,5,Gender Dysphoria in Children,14
F64.0,5,Gender Dysphoria in Adolescents and Adults,14
F82,32,Developmental Coordination Disorder,1
F64.8,30,Other Specified Gender Dysphoria,14
F64.9,25,Unspecified Gender Dysphoria,14
F91.3,31,Oppositional Defiant Disorder,15
F63.81,17,Intermittent Explosive Disorder,15
F91.1(Childhood-onset)|F91.2(Adolescent-onset)|F91.9(Unspecified onset),31,Conduct Disorder: Childhood-onset type,15
F63.1,27,Pyromania,15
F63.2,2,Kleptomania,15
F91.8,30,"Other Specified Disruptive, Impulse-Control, and Conduct Disorder",15
F91.9,25,Conduct Disorder: Unspecified onset,15
F10.10(Mild)|F10.20(Moderate/Severe),31,Alcohol Use Disorder,16
F98.4,17,Stereotypic Movement Disorder,1
F10.129|F10.229,4,Alcohol Intoxication comorbid with Alcohol Use Disorder,16
F10.239|F10.232,4,Alcohol Withdrawal,16
F10.99,11,Unspecified Alcohol-Related Disorder,16
F15.929,4,Caffeine Intoxication,16
F15.93,4,Caffeine Withdrawal,16
F15.99,11,Unspecified Caffeine- or other Stimulant-Related Disorder,16
F12.10(Mild)|F12.20(Moderate/Severe),31,Cannabis Use Disorder,16
F12.129|F12.229|F12.929|F12.122|F12.222|F12.922,4,Cannabis Intoxication,16
F12.288,4,Cannabis Withdrawal,16
F12.99,11,Unspecified Cannabis-Related Disorder,16
F95.2,17,Tourette's Disorder,1
F16.10(Mild)|F16.20(Moderate)|F16.20(Severe)_Phencyclidine,31,Other Hallucinogen Use Disorder,16
F16.10(Mild)|F16.20(Moderate)|F16.20(Severe)_Other Hallucinogen,31,Other Hallucinogen Use Disorder,16
F16.129|F16.229|F16.929_Phencyclidine,4,Phencyclidine Intoxication,16
F16.129|F16.229|F16.929_Other Hallucinogen,31,Hallucinogen Intoxication,16
F16.983,4,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",16
F16.99_Unspecified Phencyclidine,11,Unspecified Phencyclidine-Related Disorder,16
F16.99_Unspecified Hallucinogen,11,Unspecified Hallucinogen-Related Disorder,16
F18.10(Mild)|F18.20(Moderate)|F18.20(Severe),31,Inhalant Use Disorder,16
F18.129|F18.229|F18.929,31,Inhalant Intoxication,16
F18.99,11,Unspecified Inhalant-Related Disorder,16
F95.1,17,Persistent (chronic) motor or vocal tic disorder,1
F11.10(Mild)|F11.20(Moderate/Severe),31,Opioid Use Disorder,16
F11.129|F11.229|F11.929,4,Opioid Intoxication,16
F11.23,4,Opioid Withdrawal,16
F11.99,11,Unspecified Opioid-Related Disorder,16
F13.10(Mild)|F13.20(Moderate/Severe),29,"Sedative, Hypnotic, or Anxiolytic Use Disorder",16
F13.129|F13.229|F13.929,29,"Sedative, Hypnotic, or Anxiolytic Intoxication",16
F13.239|F13.232,29,"Sedative, Hypnotic, or Anxiolytic Withdrawal",16
F13.99,29,"Unspecified Sedative-, Hypnotic-, or Anxiolytic-Related Disorder",16
Mild:F15.10(Amphetamine-type substance)|F14.10(Cocaine)|F15.10(Other or unspecified stimulant) Moderate/Severe: F15.20(Amphetamine-type substance)|F14.20(Cocaine)|F15.20(Other or unspecified stimulant),31,Stimulant Use Disorder,16
F15.129|F15.229|F15.929|F14.129|F14.229|F14.929|F15.122|F15.222|F15.922|F14.122|F14.222|F14.922,4,Caffeine Intoxication,16
F95.0,17,Provisional tic disorder,1
F14.23|F15.23,4,Stimulant Withdrawal,16
F14.99|F15.99,11,Unspecified Stimulant-Related Disorders,16
Z72.0(Mild)|F17.200(Moderate)|F17.200(Severe),31,Tobacco Use Disorder,16
F17.203,4,Tobacco Withdrawal,16
F17.209,11,Unspecified Tobacco-Related Disorder,16
F19.10(Mild)|F19.20(Moderate/Severe),31,Other (or Unknown) Substance Use Disorder,16
F19.129|F19.229|F19.929,4,Other (or Unknown) Substance Intoxication,16
F19.239,4,Other (or Unknown) Substance Withdrawal,16
F19.99,11,Unspecified Other (or Unknown) Substance_Related Disorder,16
F63.0,31,Gambling Disorder,16
F95.8,30,Other Specified Tic Disorder,1
F10.121|F12.121|F16.121|F18.121|F11.121|F13.121|F15.121|F14.121|F19.121|F10.221|F12.221|F16.221|F18.221|F11.221|F13.221|F15.221|F14.221|F19.221|F10.921|F12.921|F16.921|F18.921|F11.921|F13.921|F15.921|F14.921|F19.921,21,Delirium,17
R41.0_other specified,30,Other Specified Delirium,17
R41.0_unspecified,28,Unspecified Delirium,17
"G30.9, F02.81/F02.80|G31.84_Alzheimers Disease",13,Major or Mild Neurocognitive Disorder Due to Alzheimer's Disease,17
"G31.09, F02.81/F02.80|G31.84_Frontotemporal",13,Major or Mild Frontotemporal Neurocognitive Disorder,17
"G31.83, F02.81/F02.80|G31.84_Lewy Bodies",13,Major or Mild Neurocognitive Disorder With Lewy Bodies,17
"F01.51,F01.50|G31.84_Vascular",13,Major or Mild Vascular Neurocognitive Disorder,17
"S06.2X9S, F02.81/F02.80|G31.84_Traumatic Brain Injury",33,Major or Mild Neurocognitive Disorder Due to Traumatic Brain Injury,17
F10.27|F10.97|F10.26|F10.96|F10.288|F10.988|F18.17|F18.27|F18.97|F18.188|F18.288|F18.988|F13.27|F13.97|F13.288|F13.988|F19.17|F19.27|F19.97|F19.188|F19.288|F19.988_Substance,21,Substance/Medication-Induced Major or Mild Neurocognitive Disorder,17
"B20, F02.81/F02.80|G31.84_HIV Infection",13,Major or Mild Neurocognitive Disorder Due to HIV Infection,17
F95.9,25,Unspecified Tic Disorder,1
"A81.9, F02.81/F02.80|G31.84_Prion Disease",13,Major or Mild Neurocognitive Disorder Due to Prion Disease,17
"G20, F02.81/F02.80|G31.84_Parkinsons Disease",13,Major or Mild Neurocognitive Disorder Due to Parkinson's Disease,17
"G10, F02.81/F02.80|G31.84_Huntingtons",13,Major or Mild Neurocognitive Disorder Due to Huntington's Disease,17
"[Another Medical Condition], F02.81, F02.80|G31.84_Another Medical Condition",13,Major or Mild Neurocognitive Disorder Due to Another Medical Condition,17
"F02.81/F02.80, [code of etiologies]|G31.84_Multiple Etiologies",13,Major or Mild Neurocognitive Disorder Due to Multiple Etiologies,17
R41.9,11,Unspecified Neurocognitive Disorder,17
F60.0,26,Paranoid Personality Disorder,18
F60.1,26,Schizoid Personality Disorder,18
F21,26,Schizotypal Personality Disorder,18
F60.2,31,Antisocial Personality Disorder,18
F79,10,Unspecified intellectual disabilities,1
F88_other specified neurodevelopmental disorder,30,Global Developmental Delay,1
F60.3,26,Borderline Personality Disorder,18
F60.4,26,Histronic Personality Disorder,18
F60.81,26,Narcissistic Personality Disorder,18
F60.6,26,Avoidant Personality Disorder,18
F60.7,26,Dependent Personality Disorder,18
F60.5,26,Obsessive-Compulsive Personality Disorder,18
F07.0,16,Personality Change Due to Another Medical Condition,18
F60.89,30,Other Specified Personality Disorder,18
F60.9_unspecified,28,Unspecified Personality Disorder,18
F65.3,7,Voyeurism,19
F89,28,Unspecified Neurodevelopmental Disorder,1
F65.2,7,Exhibitionistic Disorder,19
F65.81,7,Frotteuristic Disorder,19
F65.51,7,Sexual Masochism Disorder,19
F65.52,7,Sexual Sadism Disorder,19
F65.4,7,Pedophilia,19
F65.0,7,Fetishism,19
F65.1,5,Transvestic Disorder,19
F65.89,30,Other Specified Paraphilic Disorder,19
F65.9_unspecified,28,Unspecified Paraphilic Disorder,19
F06.8_other specified,30,Other specified mental disorder due to another medical condition,6
F22,9,Delusional Disorder,2
F09,25,Unspecified Mental Disorder Due to Another Medical Condition,20
F99_other specified,30,Other Specified Mental Disorder,20
F99_unspecified,28,Unspecified Mental Disorder,20
F23,9,Brief Psychotic Disorder,2
F20.81,9,Other developmental disorders of speech and language,2
F20.9,9,Schizophrenia,2
F25.0(Bipolar type)|F25.1(Depressive type),9,"Schizoaffective Disorder, bipolar type",2
"F10.159(alcohol&mild)|F12.159(Cannabis&mild)|F16.159(Phencyclidine&mild)|F16.159(Other hallucinogen&mild)|F18.159(Inhalant&mild)|F13.159(sedative,hypnotic,anxiolytic&mild)|F15.159(Amphetamine&mild)|F14.159(Cocaine&mild)|F19.159(other&mild)F10.259(alcohol&moderate/severe)|F12.259(Cannabis&moderate/severe)|F16.259(Phencyclidine&moderate/severe)|F16.259(Other hallucinogen&moderate/severe)|F18.259(Inhalant&moderate/severe)|F13.259(sedative,hypnotic,anxiolytic&moderate/severe)|F15.259(Amphetamine&moderate/severe)|F14.259(Cocaine&moderate/severe)|F19.259(other&moderate/severe)F10.959(alcohol&without)|F12.959(Cannabis&without)|F16.959(Phencyclidine&without)|F16.959(Other hallucinogen&without)|F18.959(Inhalant&without)|F13.959(sedative,hypnotic,anxiolytic&without)|F15.959(Amphetamine&without)|F14.959(Cocaine&without)|F19.959(other&without)",21,Substance/Medication-Induced Psychotic Disorder,2
F06.2(With delusions)|F06.0(With hallucinations),16,Psychotic Disorder Due to Another Medical Condition with hallucinations,2
F06.1_Catatonia,19,Unspecified catatonia,2
F80.2,32,Language Disorder,1
F06.1_another medical condition,19,Unspecified catatonia,2
"R29.818, F06.1",28,Unspecified catatonia,2
F28,30,Other Specified Schizophrenia Spectrum and Other Psychotic Disorder,2
F29,25,Unspecified Schizophrenia Spectrum and Other Psychotic Disorder,2
F31.11|F31.12|F31.13|F31.2|F31.73|F31.74|F31.9|F31.71|F31.72|F31.9|F31.31|F31.32|F31.4|F31.5|F31.75|F31.76|F31.9,12,Bipolar I Disorder,3
F31.81,12,Bipolar II disorder,3
F34.0,12,Cyclothymic Disorder,3
F10.14|F10.24|F10.94|F16.14|F16.24|F16.94|F13.14|F13.24|F13.94|F15.14|F15.24|F15.94|F14.14|F14.24|F14.94|F19.14|F19.24|F19.94|,21,Substance/Medication-Induced Bipolar and Related Disorder,3
F06.33(with manic feature)|F06.33(with manic or hypomanic-like episode)|F06.34(with mixed feature),16,Bipolar and Related Disorder Due to Another Medical Condition,3
F31.89,12,Other Specified Bipolar and Related Disorder,3
F80.0,32,Speech Sound Disorder,1
F31.9,28,Unspecified Bipolar and Related Disorder,3
F34.81,31,Disruptive Mood Dysregulation Disorder,4
Major_depressiveF10.14|F16.14|F18.14|F11.14|F13.14|F15.14|F14.14|F19.14|F10.24|F16.24|F18.24|F11.24|F13.24|F15.24|F14.24|F19.24|F10.94|F16.94|F18.94|F11.94|F13.94|F15.94|F14.94|F19.94,12,Substance/Medication-Induced Bipolar and Related Disorder,3
F34.1,12,Persistent depressive disorder (dysthymia),4
F32.81,12,Premenstrual Dysphoric Disorder,4
Depressive Disorder_F10.14|F16.14|F18.14|F11.14|F13.14|F15.14|F14.14|F19.14|F10.24|F16.24|F18.24|F11.24|F13.24|F15.24|F14.24|F19.24|F10.94|F16.94|F18.94|F11.94|F13.94|F15.94|F14.94|F19.94,21,Substance/Medication-Induced Depressive Disorder,4
F06.31(With depressive features)|F06.32(With major depressiveېlike episode)|F06.34(With mixed features),16
F32.89,30,Other Specified Depressive Disorder,4
F32.9,28,Unspecified Depressive Disorder,4
F93.0,24,Separation Anxiety Disorder,5
F80.81,22,Childhood-Onset Fluency Disorder (Stuttering),1
F94.0,32,Selective Mutism,5
F40.218(Animal)|F40.228(Natural environment)|F40.23x(Blood-injection-injury)|F40.248(Situational)|F40.298(Other),24,Specific Phobia,5
F40.10,24,Anxiety Disorder Due to Another Medical Condition,5
F41.0,24,Panic Disorder,5
F40.00,24,Agoraphobia,5
F41.1,24,Generalized Anxiety Disorder,5
Anxiety Disorder_F10.180|F15.180|F12.180|F16.180|F18.180|F11.180|F13.180|F15.180|F14.180|F19.180|F10.280|F15.280|F12.280|F16.280|F18.280|F11.280|F13.280|F15.280|F14.280|F19.280|F10.980|F15.980|F12.980|F16.980|F18.980|F11.980|F13.980|F15.980|F14.980|F19.980,21,Substance/Medication-Induced Anxiety Disorder,5
F06.4,16,Anxiety Disorder Due to Another Medical Condition,5
F41.8,30,Other Specified Anxiety Disorder,5
F41.9,28,Unspecified Anxiety Disorder,5
F80.82,32,Social (Pragmatic) Communication Disorder,1
F42.2,24,Obsessive-Compusive Disorder,6
F45.22,31,Body dysmorphic disorder,6
F42.3,24,Hoarding Disorder,6
F63.3,31,Trichotillomania (hair-pulling disorder),6
F42.4,31,Excoriation (Skin-Picking) Disorder,6
OCD_F15.188|F15.288|F15.988|F14.188|F14.288|F14.988|F19.188|F19.288|F19.988,23,Substance/Medication-Induced Obsessive-Compulsive and Related Disorder,6
F06.8,23,Other specified mental disorder due to another medical condition,6
F42.8,23,Other Specified Obsessive-Compulsive and Related Disorder,6
F42.9,23,Unspecified Obsessive-Compulsive and Related Disorder,6
F94.1,14,Reactive Attachment Disorder,7
F80.9,28,Unspecified Communication Disorder,1
F94.2,14,Disinhibited Social Engagement Disorder,7
F43.10,18,Posttraumatic Stress Disorder,7
F43.0,18,Acute Stress Disorder,7
F43.21(With depressed mood)|F43.22(With anxiety)|F43.23(With mixed anxiety and depressed mood)|F43.24(With disturbance of conduct)|F43.25(With mixed disturbance of emotions and conduct)|F43.20(Unspecified),18,Adjustment disorder,7
F43.8,30,Other Specified Trauma- and Stressor-Related Disorder,7
F43.9,25,Unspecified Trauma- and Stressor-Related Disorder,7
F44.81,3,Dissociative Identity Disorder,8
F44.0(without dissociative fugue)|F44.1(with dissociative fugue),3,Dissociative Amnesia,8
F48.1,3,Depersonalization/Derealization Disorder,8
F44.89,30,Other Specified Dissociative Disorder,8
F84.0,32,Autism Spectrum Disorder,1
F44.9,28,Unspecified Dissociative Disorder,8
F45.1,24,Somatic Symptom Disorder,9
F45.21,24,Illness anxiety disorder,9
F44.4(with weakness or paralysis/abnormal movement/swallowing symptoms/speech symptom)|F44.5(with attacks or seizures)|F44.6(with anesthesia or sensory loss/special sensory symptom)|F44.7(with mixed symptoms),3,Conversion Disorder (Functional Neurological Symptom Disorder),9
F54,16,Psychological Factors Affecting Other Medical Conditions,9
F68.10,3,Factitious Disorder,9
F45.8,30,Other Specified Somatic Symptom and Related Disorder,9
F45.9,11,Unspecified Somatic Symptom and Related Disorder,9
F98.3(children)|F50.89(adults),8,Pica,10
F98.21,8,Rumination Disorder,10
F90.2(Combined presentation)|F90.0(Predominantly inattentive presentation)|F90.1(Predominantly hyperactive/impulsive presentation),32,Attention-Deficit/Hyperactivity Disorder,1
F50.89,8,Avoidant/Restrictive Food Intake Disorder,10
F50.01(Restricting type)|F50.02(Binge-eating/purging type),8,Anorexia Nervosa,10
F50.2,8,Bulimia nervosa,10
F50.81,8,Binge-Eating Disorder,10
F50.89_other specified,8,Other Specified Feeding or Eating Disorder,10
F50.9,28,Unspecified Feeding or Eating Disorder,10
F98.0,20,Enuresis,11
F98.1,6,Encopresis,11
N39.498(with urinary symptoms)|R15.9(with fecal symptoms),30,Other Specified Elimination Disorder,11
R32(with urinary symptoms)|R15.9(with fecal symptoms),28,Unspecified Elimination Disorder,11
